movement_core,variant_count,example_names,fx_categories,curated_missing_match,example_primary_muscles,example_equipment,example_mechanic,example_level,mapped_category
tuck crunch,1,Tuck Crunch,strength,,abdominals,body only,isolation,beginner,isolation
underhand pulldowns,1,Underhand Cable Pulldowns,strength,,lats,cable,compound,beginner,compound
upper back grab,1,Upper Back-Leg Grab,stretching,,hamstrings,,,beginner,mobility
upper back stretch,1,Upper Back Stretch,stretching,,middle back,,,beginner,mobility
upward stretch,1,Upward Stretch,stretching,,shoulders,,,beginner,mobility
v bar pulldown,1,V-Bar Pulldown,strength,,lats,cable,compound,intermediate,compound
v bar pullup,1,V-Bar Pullup,strength,,lats,body only,compound,beginner,compound
vertical swing,1,Vertical Swing,plyometrics,,hamstrings,dumbbell,compound,beginner,plyometric
walking treadmill,1,"Walking, Treadmill",cardio,,quadriceps,machine,,beginner,cardio
ball hyperextension,1,Weighted Ball Hyperextension,strength,,lower back,exercise ball,compound,intermediate,compound
ball side bend,1,Weighted Ball Side Bend,strength,,abdominals,exercise ball,isolation,intermediate,isolation
bench dip,1,Weighted Bench Dip,strength,,triceps,other,compound,intermediate,compound
pull ups,1,Weighted Pull Ups,strength,,lats,other,compound,intermediate,compound
sissy squat,1,Weighted Sissy Squat,strength,Sissy Squat,quadriceps,barbell,compound,expert,compound
decline pullover,1,Wide-Grip Decline Barbell Pullover,strength,,chest,barbell,compound,intermediate,compound
pulldown behind neck,1,Wide-Grip Pulldown Behind The Neck,strength,,lats,cable,compound,intermediate,compound
rear pull up,1,Wide-Grip Rear Pull-Up,strength,,lats,body only,compound,intermediate,compound
stance squat,1,Wide Stance Barbell Squat,strength,,quadriceps,barbell,compound,intermediate,compound
stance stiff,1,Wide Stance Stiff Legs,olympic weightlifting,,hamstrings,barbell,compound,intermediate,compound
wind sprints,1,Wind Sprints,strength,,abdominals,body only,compound,beginner,compound
windmills,1,Windmills,stretching,Windmill,abductors,,,intermediate,mobility
world s greatest stretch,1,World's Greatest Stretch,stretching,,hamstrings,,,intermediate,mobility
wrist circles,1,Wrist Circles,stretching,,forearms,body only,isolation,beginner,mobility
wrist roller,1,Wrist Roller,strength,,forearms,other,isolation,beginner,isolation
wrist rotations straight bar,1,Wrist Rotations with Straight Bar,strength,,forearms,barbell,isolation,beginner,isolation
yoke walk,1,Yoke Walk,strongman,,quadriceps,other,compound,intermediate,compound
zercher squats,1,Zercher Squats,strength,Zercher Squat,quadriceps,barbell,compound,expert,compound
zottman curl,1,Zottman Curl,strength,,biceps,dumbbell,isolation,intermediate,isolation
zottman preacher curl,1,Zottman Preacher Curl,strength,,biceps,dumbbell,isolation,intermediate,isolation
